SH000026,SH000078,SH000417
9.6,3.63,5
9.74,3.65,4.99
10,3.61,5.05
9.6,3.44,4.96
9.86,3.44,4.88
8.87,3.16,4.39
8.42,3.07,4.43
8.65,3.16,4.3
8.58,3.15,4.23
8.91,3.23,4.46
8.95,3.25,4.51
8.79,3.2,4.41
8.91,3.32,4.58
8.98,3.35,4.65
8.98,3.51,4.67
9.04,3.65,4.82
9.01,3.74,4.87
8.98,3.91,4.92
8.87,3.52,4.79
8.99,3.58,4.84
8.92,3.78,4.79
9.1,3.79,4.76
9.09,3.79,4.75
8.78,3.65,4.59
8.97,3.81,4.9
9.09,3.78,4.92
10,3.76,4.91
11,3.73,4.9
10.5,3.76,4.9
10.88,3.71,4.91
10.75,3.68,4.77
10.38,3.66,4.72
10.51,3.68,4.75
10.33,3.66,4.69
10.59,3.58,4.63
10.17,3.7,4.63
10.06,3.64,4.51
10.01,3.64,4.58
10.37,3.66,4.61
10.26,3.7,4.54
10.23,3.68,4.47
10.23,3.78,4.48
10.15,3.77,4.47
9.96,3.79,4.36
10.29,3.79,4.44
10.17,3.74,4.43
10.18,3.67,4.48
10.32,3.7,4.54
10.29,3.63,4.48
10.69,3.64,4.59
10.35,3.58,4.53
10.28,3.64,4.51
10.14,3.62,4.46
9.98,3.53,4.45
10.09,3.54,4.45
10.01,3.57,4.47
9.98,3.81,4.5
9.88,3.74,4.52
9.93,3.67,4.54
9.99,3.68,4.46
9.41,3.57,4.29
9.81,3.61,4.42
9.85,3.62,4.44
9.87,3.64,4.45
9.74,3.6,4.43
9.65,3.58,4.4
9.57,3.57,4.41
9.63,3.57,4.42
9.59,3.57,4.37
9.67,3.57,4.41
9.74,3.53,4.39
9.76,3.46,4.38
9.33,3.3,4.22
9.34,3.27,4.16
9.46,3.28,4.23
9.58,3.35,4.28
9.93,3.4,4.29
9.8,3.39,4.29
10.78,3.4,4.27
10.48,3.45,4.35
10.43,3.46,4.37
10.33,3.48,4.29
10.32,3.48,4.3
10.31,3.47,4.32
10.32,3.42,4.24
10.2,3.42,4.25
10.23,3.39,4.26
10.26,3.41,4.27
10.08,3.31,4.22
10.15,3.33,4.27
10,3.32,4.25
10.07,3.4,4.3
10.14,3.49,4.36
9.93,3.48,4.29
9.95,3.45,4.35
10.09,3.51,4.34
10.12,3.49,4.39
10.18,3.49,4.41
10.15,3.44,4.39
10.05,3.4,4.43
10.04,3.42,4.44
10.17,3.4,4.48
10.07,3.42,4.53
9.9,3.36,4.49
